HOUSEID,ANNMILES,GASUSGE,HighestEDUC,TAXISERVICE,RIDESHARE22,ESCOOTERUSED,PTUSED,MCTRANSIT,WALKTRANSIT,BIKETRANSIT,EMPLOYMENT2,WTHHFIN,WTHHFIN5D,WTHHFIN2D,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,FLAG100,HHFAMINC,HHFAMINC_IMP,HH_RACE,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSACAT,MSASIZE,TRAVDAY,URBAN,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,TDAYDATE,WRKCOUNT,STRATUMID
9000048988,50000,1925.33830560625,4,0,0,0,0,0,0,0,0,9471.2456972,11893.253195,0.0,1,1,1,1,5,3,2,1,0,51,1,4,4,1,1,1,2,9,1,5,4,2,6,1,0,0,1,1,202202,0,1029
9000049217,116000,4201.2051833785845,7,0,0,0,0,0,0,0,0,5051.3268679,0.0,19518.601509,2,1,1,2,5,3,2,2,5,53,1,8,8,1,2,2,1,10,3,1,1,1,1,1,0,0,2,1,202203,0,1029
9000049329,130909,4604.932873316135,6,0,1,0,0,0,8,0,72,17683.416413,23753.389056,0.0,2,3,3,2,3,2,2,2,2,33,1,6,6,1,2,1,1,2,3,2,5,1,2,1,0,0,2,1,202202,2,1025
9000049413,205000,9734.761602582566,4,0,0,0,0,0,0,0,80,2906.9671737,0.0,9481.0167996,2,1,1,2,4,2,2,2,0,43,1,6,6,1,2,3,2,2,3,3,1,4,6,2,0,0,2,2,202202,2,1028
9000049497,80000,2996.425894673386,6,0,0,0,0,0,2,0,40,20436.754294,25092.134935,0.0,3,1,4,2,7,3,2,3,0,73,1,5,5,1,5,3,1,4,3,1,6,1,1,1,0,2,3,2,202203,1,1034
9000049519,203300,12111.022392162413,6,0,1,0,0,0,1,0,100,54180.182452,70411.402548,0.0,3,3,1,2,7,3,2,3,6,72,1,7,7,4,5,3,1,4,2,4,5,1,1,1,0,2,3,1,202202,2,1033
9000049615,138000,4952.9334847237815,7,0,3,0,0,0,1,0,40,5695.1204761,0.0,21616.019316,1,3,3,2,7,3,2,1,3,72,1,6,6,1,1,1,2,1,2,5,1,1,2,1,0,0,1,1,202202,1,1033
9000049797,174000,6308.083928721549,6,0,0,0,0,0,30,0,0,2167.5962435,2743.1717434,0.0,2,2,1,2,8,4,2,2,2,82,1,5,5,1,2,1,1,10,2,5,2,1,5,1,0,0,2,1,202202,0,1035
9000049831,45000,1830.0571617925702,3,0,0,0,0,0,0,0,0,789.23382096,918.26494937,0.0,4,2,1,2,9,4,2,3,2,94,1,7,7,1,4,2,1,10,4,6,2,4,6,2,0,0,4,2,202202,0,1040
9000049977,201500,8079.546397175832,7,0,0,0,0,0,0,0,80,6084.7166408,8965.5437725,0.0,2,1,1,2,6,3,2,2,4,63,1,7,7,1,3,3,1,6,3,1,3,1,1,1,1,0,3,1,202203,2,1031
9000050070,200000,6690.518364636597,6,0,0,0,0,0,0,0,40,6361.2284914,7907.5693749,0.0,1,3,2,2,3,2,2,1,3,32,1,5,5,1,1,1,2,1,2,4,3,1,5,1,0,0,1,1,202202,1,1025
9000050090,51000,1794.0063444004832,3,0,0,0,0,0,0,0,42,16562.466381,23013.765612,0.0,1,3,3,2,3,2,2,1,0,32,1,7,7,1,1,1,2,1,2,4,3,1,5,1,0,0,1,1,202202,1,1025
9000050226,90000,3430.952860590338,3,0,0,0,0,1,3,0,40,13482.97652,0.0,45728.421904,2,3,2,2,6,3,2,2,5,62,1,5,5,1,4,1,1,4,2,4,1,1,5,1,0,2,2,1,202202,1,1031
9000050507,150000,6590.179492717891,5,0,0,0,0,0,0,3,38,22518.535667,29407.750171,0.0,2,3,3,2,5,3,2,1,2,53,1,3,3,1,2,1,1,10,3,2,4,1,1,1,0,0,2,1,202202,1,1029
9000050692,200000,7136.717690140256,4,0,0,0,4,0,4,2,0,592.00599109,795.80613448,0.0,2,3,3,2,9,4,2,1,0,92,1,2,2,5,2,1,1,10,2,4,2,2,6,1,0,0,2,1,202203,0,1039
9000050705,100000,3490.4713408882953,6,0,0,0,0,0,7,0,95,14642.794833,0.0,50446.566336,2,1,1,1,2,1,1,2,6,21,1,11,11,1,4,2,1,6,1,5,1,2,6,1,2,0,4,1,202202,1,1023
9000050941,26500,2709.7102357501362,4,0,0,0,0,0,3,0,0,13246.821876,16733.969837,0.0,1,2,1,2,3,2,2,1,0,34,1,3,3,1,1,5,2,9,4,6,6,4,6,2,0,0,1,2,202203,0,1026
9000051098,200000,6964.965807672464,6,0,0,0,0,0,8,0,40,348.54724325,484.65671979,0.0,1,3,3,2,9,4,2,1,0,92,1,8,8,1,1,1,2,1,2,4,2,1,3,1,0,0,1,1,202202,1,1039
9000051281,400000,21386.86054805056,3,0,0,0,0,0,0,0,0,24031.254879,26170.886772,0.0,1,2,4,2,6,3,2,1,14,63,1,3,3,1,2,2,1,5,3,1,6,4,6,2,1,0,2,2,202202,0,1032
9000051330,400000,14418.339657429571,7,0,0,0,0,0,0,0,39,2485.3085541,3207.358691,0.0,2,4,1,2,5,3,2,2,8,54,1,4,4,1,3,2,1,7,4,6,6,4,6,2,1,0,3,2,202202,2,1030
9000051352,1300000,66516.12804767418,7,0,0,0,0,0,0,0,0,4391.6562373,5727.2248507,0.0,2,1,1,2,3,2,2,3,0,33,2,6,6,1,4,8,1,6,3,1,2,4,6,2,2,0,3,2,202208,1,1026
9000051381,90000,5240.287721477293,6,0,4,0,0,0,10,0,80,6325.6736802,8881.7630836,0.0,2,1,1,1,5,3,2,2,2,51,1,8,8,1,2,2,1,2,1,5,6,1,1,1,0,0,2,1,202202,2,1030
9000051449,93745,3656.569854272331,5,0,0,0,0,0,0,0,65,25919.477902,34022.798779,0.0,2,1,1,2,3,2,2,2,4,33,1,7,7,1,2,5,1,2,3,1,6,4,6,2,0,0,2,2,202203,2,1026
9000051584,37000,1808.3053177513011,6,0,0,0,0,0,0,0,40,29685.780103,0.0,95296.128824,2,2,1,2,4,2,2,2,2,43,1,9,9,1,2,3,1,10,3,3,7,4,6,2,0,0,2,2,202203,1,1028
9000051630,58000,2099.5047595355204,7,0,0,0,0,0,1,0,40,12079.270577,0.0,52546.901422,3,1,1,2,8,4,2,4,8,83,1,10,10,1,5,3,1,6,3,3,1,4,6,2,2,0,5,2,202202,1,1036
9000051841,200000,8232.40347165534,4,0,0,0,0,0,10,0,41,11798.226384,16345.021314,0.0,6,1,1,2,9,4,2,4,2,92,1,9,9,1,6,2,1,10,2,5,5,1,5,1,0,0,6,1,202203,1,1037
9000051971,57000,2007.966041012809,6,0,0,0,0,0,12,0,58,19749.283349,27869.948239,0.0,2,3,3,1,9,4,1,2,2,91,1,8,8,1,2,2,1,2,1,5,6,1,4,1,0,0,2,1,202205,2,1037
9000052017,210000,7488.6587705895845,5,0,0,0,0,0,0,0,60,36674.254823,45792.603517,0.0,2,1,1,2,8,4,2,2,4,84,1,8,8,1,6,2,1,4,4,6,5,2,6,1,2,2,4,1,202203,2,1036
9000052023,87000,3065.4134651459044,3,0,0,0,0,0,5,0,100,46318.0823,0.0,218441.75706,4,3,1,2,2,1,1,4,23,23,1,5,5,97,5,4,1,6,3,1,7,1,1,1,1,0,5,1,202203,3,1023
9000052058,198427,8003.997598522139,7,0,4,0,0,0,60,7,80,25952.484062,36579.086932,0.0,2,1,2,2,5,3,2,2,11,52,1,8,8,1,4,2,1,6,2,4,3,1,5,1,2,0,4,1,202203,2,1029
9000052150,130000,4592.477833605255,7,0,3,0,0,0,3,10,15,4499.4763206,0.0,15966.062068,1,1,1,2,3,2,2,1,2,33,1,8,8,1,1,1,2,1,3,1,1,1,1,1,0,0,1,1,202203,1,1025
9000052327,119000,4289.239419831771,8,0,0,0,0,0,10,0,40,18398.689788,23949.916057,0.0,1,3,3,2,7,3,2,1,3,72,1,6,6,3,1,1,2,1,2,5,6,1,5,1,0,0,1,1,202203,1,1033
9000052498,120000,4325.283448569852,6,0,0,0,0,0,2,0,40,11122.694125,13461.478556,0.0,1,2,1,2,7,3,1,1,0,73,1,6,6,1,1,1,2,1,3,3,3,1,3,1,0,0,1,1,202204,1,1033
9000052558,50000,2001.9865198777254,4,0,0,0,4,0,6,4,0,27362.473318,0.0,117612.87689,2,3,1,2,3,2,1,2,11,33,1,5,5,97,4,2,1,6,3,1,1,1,1,1,2,0,4,1,202203,0,1025
9000052703,123000,4380.493785312869,7,0,4,0,0,0,4,3,48,21862.922158,35083.572352,0.0,2,1,1,2,4,2,2,2,4,43,1,9,9,1,3,2,1,4,3,1,3,4,6,2,0,1,2,2,202206,1,1028
9000052735,100200,3575.4955627602685,4,0,0,0,0,0,2,0,0,4111.4331322,0.0,18412.010631,2,4,1,1,9,4,2,1,0,91,1,1,1,1,2,1,1,10,1,5,1,1,4,1,0,0,2,1,202203,0,1037
9000052743,106867,3722.9148434869503,6,0,0,0,0,0,1,0,140,14973.323082,19235.554647,0.0,3,1,1,2,4,2,1,2,0,42,1,3,3,1,3,2,1,7,2,5,2,1,5,1,0,0,3,1,202204,3,1027
9000052918,319813,11232.590123285816,3,0,0,0,0,0,0,0,45,52698.998081,73174.422627,0.0,2,3,2,2,7,3,2,2,4,72,1,4,4,1,3,2,1,4,2,4,2,1,3,1,0,1,2,1,202204,1,1033
9000052927,50000,2007.5313254431026,5,0,0,0,0,0,0,0,70,19119.823496,0.0,82850.268397,2,1,1,2,5,3,2,3,6,53,1,6,6,1,4,4,1,8,3,3,1,1,2,1,2,0,4,1,202206,2,1029
9000053293,79562,3826.1429370045134,3,0,0,0,0,0,0,0,120,20971.17265,0.0,85691.161202,3,2,4,2,4,2,2,3,13,42,1,7,7,1,4,3,1,6,2,5,1,1,5,1,1,0,4,1,202204,3,1027
9000053348,200000,7656.885545810919,3,1,10,0,0,0,3,0,80,40069.974231,49908.463318,0.0,4,3,3,2,9,4,1,2,4,93,1,1,1,5,6,1,1,6,3,3,4,1,3,1,2,0,6,1,202203,2,1037
9000053371,126000,4536.343018499321,8,0,0,0,0,0,32,32,90,9028.7751804,12915.743516,0.0,2,1,1,2,2,1,2,2,8,23,1,11,11,1,4,2,1,6,3,2,2,1,5,1,2,0,4,1,202203,2,1023
9000053642,155000,9582.952727536273,4,0,4,0,0,0,0,0,0,18183.757682,26577.812048,0.0,2,3,1,2,7,3,2,2,0,72,1,8,8,1,2,2,2,10,2,5,5,1,5,1,0,0,2,1,202203,0,1033
9000053647,225000,6288.7921611858665,5,0,0,0,0,4,24,0,40,8075.0563791,0.0,34288.720397,3,3,1,2,3,2,2,3,5,32,2,6,6,1,6,3,1,4,2,4,1,4,6,2,3,0,5,1,202203,2,1025
9000053665,75000,2830.5361099870283,4,0,0,0,0,0,2,0,0,21585.096591,28198.589416,0.0,1,3,3,2,7,3,2,1,4,73,1,3,3,1,4,1,1,5,3,2,3,1,1,1,3,0,4,1,202204,0,1033
9000053711,254000,8562.196043932949,6,0,4,0,0,0,3,0,105,23349.239301,0.0,83516.119701,2,1,1,2,7,3,2,2,8,72,1,11,11,1,4,2,1,6,2,5,7,1,3,1,2,0,4,1,202203,2,1033
9000053748,100000,3752.256761724641,4,0,0,0,0,0,0,0,50,19172.561192,25537.855433,0.0,1,3,3,1,3,2,2,1,0,31,1,4,4,1,1,1,2,1,1,5,5,1,4,1,0,0,1,1,202203,1,1025
9000054109,182700,6017.110831657117,6,0,0,0,0,0,0,0,62,21755.872141,31062.426644,0.0,2,1,1,2,4,2,1,2,1,44,1,6,6,1,3,2,1,6,4,6,5,4,6,2,1,0,3,2,202203,2,1028
